DXEX v6
C:\Users\shanghaijiaoda\Documents\My Flow Projects\PumpB\Double_1.0B_middle.lda
3:08:07 PM
233;0.00 mm;0.00 mm;0.00 mm
Region1
"Row#","Arrival Time [ms]","Transit Time [us]","Velocity U [m/s]","Arrival Time{G2} [ms]","Transit Time{G2} [us]","Velocity V{G2} [m/s]",
161,209.687,3.2,-2.77,200.510,9.8,-1.01
162,214.557,19.0,-0.18,200.519,3.8,-1.07
163,214.576,17.1,-1.02,200.549,50.8,-1.13
164,216.792,6.4,-0.06,205.327,9.6,-1.87
165,221.692,8.1,-1.77,205.886,23.7,-0.65
166,222.363,8.5,-1.47,208.011,14.7,-3.50
167,222.388,8.3,-1.51,209.656,3.2,-0.34
168,224.745,6.6,0.56,214.387,26.2,-2.46
169,224.761,4.5,0.58,214.557,28.2,-3.82
170,225.779,3.4,1.57,214.581,4.3,-4.38
171,234.882,12.4,3.19,217.125,21.8,-2.18
172,234.893,5.1,3.06,218.414,41.6,-3.36
173,234.903,5.1,3.31,218.785,4.3,-4.19
174,234.919,8.5,3.11,219.878,3.4,-2.70
175,235.930,9.6,2.93,221.101,4.5,-2.59
176,239.075,7.7,1.24,222.921,29.2,-1.44
177,239.112,6.8,1.24,223.274,11.5,-0.60
178,243.754,6.0,-0.17,223.296,28.4,-0.58
179,243.766,4.1,-0.57,224.717,16.0,-2.33
180,244.448,10.7,-1.21,224.744,32.9,-2.65
181,247.860,23.9,-0.78,224.766,9.2,-2.16
182,249.728,16.9,-1.39,240.874,32.2,-2.70
183,249.911,18.8,-1.00,242.765,3.8,-1.41
184,251.245,32.4,-0.77,242.775,7.0,-1.31
185,252.694,26.7,-0.06,242.791,6.0,-1.37
186,254.105,15.4,0.31,242.826,57.8,-1.23
187,254.134,28.4,0.39,242.879,4.1,-1.34
188,254.239,5.3,-0.23,247.237,16.0,-5.98
189,254.255,9.4,0.26,249.448,4.7,-4.57
190,254.265,5.1,0.09,249.456,6.4,-4.18
191,254.274,9.4,-0.11,251.132,7.0,-4.63
192,255.976,13.2,-0.00,251.244,42.5,-5.18
193,261.868,4.5,2.42,251.388,10.7,-4.60
194,262.318,10.2,1.42,251.664,5.3,-4.84
195,262.334,17.3,1.66,254.240,25.4,-4.36
196,262.349,7.0,1.46,254.264,9.6,-4.64
197,262.364,15.8,1.45,254.273,4.9,-4.27
198,262.377,5.5,1.40,255.119,10.9,-3.46
199,262.387,6.2,1.39,255.546,10.7,-3.64
200,262.945,3.4,0.13,255.918,29.4,-3.03
201,262.950,3.2,1.08,257.460,3.4,-2.23
202,267.827,4.1,-2.92,257.475,22.0,-2.19
203,269.634,31.4,-2.37,258.821,11.3,-2.27
204,271.763,7.0,-3.06,258.837,5.5,-2.28
205,271.798,11.7,-3.11,261.635,8.5,-4.58
206,272.393,4.5,-3.18,261.650,14.9,-4.55
207,284.867,4.3,0.02,264.691,10.5,-2.96
208,284.892,2.8,0.21,265.550,21.1,-2.26
